INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP
1035,101,9/13/2013 1:14,1295,20.42,20.16,0.26,21.1,1021,0.045,0.256,0.21,19,0.788,0.4,0.47,STABLE,0.01,12.56,15,0,19.6
1036,101,9/13/2013 1:24,1105,20.42,20.2,0.22,21.1,882,0.045,0.226,0.181,19,0.798,0.3,0.47,STABLE,0,12.56,1,0,18.4
1037,101,9/13/2013 1:35,950,20.42,20.23,0.19,21.1,772,0.045,0.204,0.159,19,0.812,0.3,0.47,STABLE,-0.02,12.54,12,7,17.2
1038,101,9/13/2013 1:45,764,20.42,20.27,0.15,21.1,623,0.045,0.173,0.128,19.1,0.816,0.2,0.47,STABLE,0.02,12.56,0,0,16.5
1039,101,9/13/2013 1:56,532,20.42,20.31,0.11,21.1,457,0.045,0.139,0.094,19.1,0.859,0.2,0.47,STABLE,-0.01,12.55,0,0,20.7
1040,101,9/13/2013 2:06,372,20.42,20.34,0.07,21.1,322,0.045,0.111,0.066,19.1,0.866,0.1,0.47,STABLE,-0.01,12.54,0,0,30.3
1041,101,9/13/2013 2:17,247,20.42,20.37,0.05,21.1,224,0.045,0.091,0.046,19.1,0.907,0.1,0.47,STABLE,0.01,12.55,0,0,28.9
1042,101,9/13/2013 2:27,161,20.42,20.38,0.03,21.1,162,0.045,0.078,0.033,19.1,1.007,0,0.47,STABLE,-0.01,12.54,0,0,26.9
1043,101,9/13/2013 2:38,112,20.42,20.4,0.02,21.1,129,0.044,0.071,0.026,19.1,1.147,0,0.47,STABLE,0,12.54,0,0,25.1
1044,101,9/13/2013 2:48,89,20.42,20.4,0.02,21.1,112,0.045,0.067,0.023,19.1,1.255,0,0.47,STABLE,0.01,12.55,0,0,24
1045,101,9/13/2013 2:59,72,20.42,20.4,0.02,21.1,104,0.044,0.066,0.021,19.1,1.457,0,0.48,STABLE,-0.01,12.54,0,0,23
1046,101,9/13/2013 3:09,40,20.42,20.41,0.01,21.1,75,0.044,0.06,0.015,19.1,1.851,0,0.47,STABLE,-0.01,12.53,0,0,22.2
1047,101,9/13/2013 3:20,8,20.42,20.42,0,21.1,56,0.044,0.056,0.012,19.1,7.11,0,0.47,STABLE,0.01,12.54,0,0,21.5
1048,101,9/13/2013 3:30,-1,20.42,20.42,0,21.1,53,0.044,0.055,0.011,19.1,-46.423,0,0.48,STABLE,-0.01,12.53,0,0,20.8
1049,101,9/13/2013 3:41,17,20.42,20.42,0,21.1,48,0.044,0.054,0.01,19.1,2.737,0,0.47,STABLE,0,12.53,0,0,20.3
1050,101,9/13/2013 3:51,5,20.42,20.42,0,21.1,44,0.044,0.053,0.009,19.1,8.508,0,0.47,STABLE,0.01,12.54,0,0,19.8
1051,101,9/13/2013 4:02,18,20.42,20.42,0,21.1,42,0.044,0.053,0.009,19.1,2.359,0,0.47,STABLE,-0.02,12.52,0,0,19.5
1052,101,9/13/2013 4:12,0,20.42,20.42,0,21.1,42,0.044,0.052,0.008,19.1,-2366.904,0,0.48,STABLE,0.01,12.53,0,0,19.5
1053,101,9/13/2013 4:23,19,20.42,20.42,0,21.1,37,0.044,0.052,0.007,19.1,1.891,0,0.48,STABLE,0,12.53,0,0,21.4
1054,101,9/13/2013 4:33,6,20.42,20.42,0,21.1,35,0.044,0.051,0.007,19.1,6.169,0,0.48,STABLE,-0.01,12.52,0,0,23.2
1055,101,9/13/2013 4:44,1,20.42,20.42,0,21.1,36,0.044,0.051,0.007,19.1,53.204,0,0.48,STABLE,0.01,12.53,0,0,23.1
1056,101,9/13/2013 4:54,5,20.42,20.42,0,21.1,33,0.044,0.051,0.007,19.1,6.606,0,0.47,STABLE,-0.01,12.52,0,0,22.8
1057,101,9/13/2013 5:05,-3,20.42,20.42,0,21.1,33,0.044,0.051,0.007,19.1,-9.845,0,0.48,STABLE,0,12.52,0,0,22.6
1058,101,9/13/2013 5:15,11,20.42,20.42,0,21.1,31,0.044,0.05,0.006,19.1,2.863,0,0.47,STABLE,0,12.52,0,0,22.4
1059,101,9/13/2013 5:26,12,20.42,20.42,0,21.1,29,0.044,0.05,0.006,19.1,2.429,0,0.48,STABLE,0,12.52,0,0,22.2
1060,101,9/13/2013 5:36,-4,20.42,20.42,0,21.1,29,0.044,0.05,0.006,19.1,-7.958,0,0.48,STABLE,-0.01,12.51,0,0,22.1
1061,101,9/13/2013 5:47,-4,20.42,20.42,0,21.1,29,0.044,0.05,0.006,19.1,-7.404,0,0.47,STABLE,0.01,12.52,0,0,22
1062,101,9/13/2013 5:57,-1,20.42,20.42,0,21.1,26,0.044,0.05,0.005,19.1,-27.298,0,0.47,STABLE,0,12.52,0,0,21.9
1063,101,9/13/2013 6:08,-4,20.42,20.42,0,21.1,27,0.044,0.05,0.006,19.1,-7.243,0,0.47,STABLE,-0.01,12.51,0,0,21.7
1064,101,9/13/2013 6:18,13,20.42,20.42,0,21.1,28,0.044,0.05,0.006,19.1,2.091,0,0.48,STABLE,0.02,12.53,0,0,21.8
1065,101,9/13/2013 6:29,2,20.42,20.42,0,21.1,25,0.044,0.05,0.005,19.1,14.681,0,0.47,STABLE,-0.02,12.51,0,0,21.8
1066,101,9/13/2013 6:39,7,20.42,20.42,0,21.1,25,0.044,0.05,0.005,19.1,3.394,0,0.47,STABLE,0.01,12.52,0,0,21.7
1067,101,9/13/2013 6:50,5,20.42,20.42,0,21.1,25,0.044,0.05,0.005,19.1,4.87,0,0.48,STABLE,-0.01,12.51,0,0,21.7
1068,101,9/13/2013 7:00,4,20.42,20.42,0,21.1,24,0.045,0.05,0.005,19.1,5.688,0,0.47,STABLE,0,12.51,0,0,21.6
1069,101,9/13/2013 7:11,-5,20.42,20.42,0,21.1,24,0.045,0.05,0.005,19.1,-4.404,0,0.47,STABLE,0,12.51,0,0,21.6
1070,101,9/13/2013 7:21,10,20.42,20.42,0,21.1,23,0.045,0.05,0.005,19.1,2.272,0,0.47,STABLE,-0.01,12.5,0,0,21.6
1071,101,9/13/2013 7:32,14,20.42,20.42,0,21.1,23,0.045,0.05,0.005,19.1,1.572,0,0.48,STABLE,0.01,12.51,0,0,21.6
1072,101,9/13/2013 7:42,9,20.42,20.42,0,21.1,23,0.045,0.05,0.005,19.1,2.561,0,0.47,STABLE,-0.01,12.5,0,0,21.5
1073,101,9/13/2013 7:53,10,20.42,20.42,0,21.1,23,0.045,0.05,0.005,19.1,2.21,0,0.47,STABLE,0.01,12.51,0,0,21.6
1074,101,9/13/2013 8:03,12,20.42,20.42,0,21.1,21,0.045,0.05,0.004,19.1,1.792,0,0.47,STABLE,-0.01,12.5,0,0,21.5
1075,101,9/13/2013 8:14,4,20.42,20.42,0,21.1,24,0.045,0.05,0.005,19.1,6.1,0,0.47,STABLE,-0.01,12.49,0,0,21.5
1076,101,9/13/2013 8:24,8,20.42,20.42,0,21.1,22,0.045,0.05,0.005,19.1,2.679,0,0.47,STABLE,0.01,12.5,2,0,21.5
1077,101,9/13/2013 8:35,10,20.41,20.41,0,21.1,12,0.055,0.057,0.003,19.1,1.202,0,0.47,STABLE,-0.02,12.48,0,0,21.7
1078,101,9/13/2013 8:45,0,20.41,20.41,0,21.1,14,0.056,0.059,0.003,19.1,173.411,0,0.47,STABLE,0.01,12.49,0,0,21.8
1079,101,9/13/2013 8:56,6,20.42,20.41,0,21.1,15,0.056,0.059,0.003,19.1,2.402,0,0.47,STABLE,0,12.49,0,0,21.8
