OXYMAX CSV DATA FILE 

CSV FILE CREATION:1/2/2014 10:08:23 PM
EXPERIMENT START:9/5/2013 12:13:58 PM
DATA FILENAME:C:\Users\Katherine\Documents\CLAMS\CLAMS runs\Tibor\2013-09-05-Exp 27 Ob prelim #2.CDTA

GROUP/CAGE:0101
O2 CAL Date:
CO2 CAL Date:
SUBJECT ID:ob pctp wt HL M1077
SUBJECT MASS:58.3 G
wt 352:

REFERENCE SETTLE TIME:85 seconds
REFERENCE MEASURE TIME:5 seconds
CAGE SETTLE TIME:85 seconds
CAGE MEASURE TIME:5 seconds
REFERENCE METHOD:EVRYN N=6
HEAT CALCULATION METHOD:STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP,
#,,,ml/kg/hr,%,%,%,l,ml/kg/hr,%,%,%,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
832,0101,9/11/2013 1:42:43 PM ,2584,20.32,19.81,0.51,14.6,2322,0.059,0.524,0.465,13.6,0.899,0.7,0.49,STABLE,0.00,8.48,510,0,32.0,
833,0101,9/11/2013 1:53:13 PM ,2872,20.32,19.75,0.57,14.7,2572,0.059,0.582,0.523,13.7,0.895,0.8,0.48,STABLE,0.00,8.48,651,0,31.6,
834,0101,9/11/2013 2:03:43 PM ,3282,20.33,19.68,0.65,14.7,2958,0.060,0.654,0.594,13.7,0.901,0.9,0.48,STABLE,-0.01,8.47,556,0,31.7,
835,0101,9/11/2013 2:14:13 PM ,3470,20.33,19.65,0.68,14.7,3119,0.060,0.688,0.628,13.7,0.899,1.0,0.48,STABLE,-0.01,8.46,275,0,32.3,
836,0101,9/11/2013 2:24:43 PM ,3620,20.34,19.62,0.71,14.8,3276,0.061,0.718,0.658,13.7,0.905,1.0,0.48,STABLE,0.03,8.49,299,32,32.9,
837,0101,9/11/2013 2:35:13 PM ,3658,20.34,19.62,0.72,14.8,3318,0.061,0.728,0.667,13.8,0.907,1.1,0.48,STABLE,0.07,8.56,337,36,32.9,
838,0101,9/11/2013 2:45:43 PM ,3697,20.35,19.62,0.73,14.9,3374,0.061,0.739,0.678,13.8,0.913,1.1,0.48,STABLE,0.06,8.62,281,14,33.3,
839,0101,9/11/2013 2:56:13 PM ,3635,20.35,19.63,0.72,14.9,3324,0.061,0.732,0.671,13.8,0.915,1.0,0.48,STABLE,0.08,8.70,272,44,33.3,
840,0101,9/11/2013 3:06:43 PM ,3629,20.36,19.63,0.72,14.9,3349,0.061,0.736,0.676,13.9,0.923,1.0,0.48,STABLE,0.08,8.78,448,82,33.2,
841,0101,9/11/2013 3:17:13 PM ,3530,20.36,19.66,0.70,15.0,3263,0.061,0.718,0.657,13.9,0.924,1.0,0.48,STABLE,0.04,8.82,183,25,33.5,
842,0101,9/11/2013 3:27:43 PM ,3506,20.36,19.67,0.69,15.0,3208,0.061,0.705,0.645,13.9,0.915,1.0,0.48,STABLE,0.08,8.90,381,35,33.0,
843,0101,9/11/2013 3:38:13 PM ,3339,20.37,19.71,0.66,15.0,3063,0.061,0.678,0.617,14.0,0.918,1.0,0.48,STABLE,0.02,8.92,412,11,33.1,
844,0101,9/11/2013 3:48:43 PM ,3228,20.37,19.73,0.64,15.1,2939,0.061,0.654,0.593,14.0,0.910,0.9,0.48,STABLE,0.10,9.02,343,32,32.5,
845,0101,9/11/2013 3:59:13 PM ,3181,20.37,19.75,0.63,15.1,2845,0.061,0.635,0.574,14.0,0.894,0.9,0.48,STABLE,0.00,9.02,217,2,32.4,
846,0101,9/11/2013 4:09:43 PM ,3372,20.38,19.71,0.67,15.1,3013,0.061,0.668,0.608,14.1,0.894,1.0,0.48,STABLE,-0.01,9.01,536,4,32.7,
847,0101,9/11/2013 4:20:13 PM ,3517,20.38,19.68,0.69,15.2,3203,0.061,0.704,0.643,14.1,0.911,1.0,0.48,DYNAMIC,0.10,9.11,312,32,32.7,
848,0101,9/11/2013 4:30:43 PM ,3320,20.38,19.73,0.65,15.2,2980,0.060,0.659,0.599,14.1,0.898,1.0,0.48,STABLE,0.08,9.19,246,32,31.8,
849,0101,9/11/2013 4:41:13 PM ,2757,20.39,19.85,0.54,15.2,2419,0.060,0.546,0.486,14.2,0.878,0.8,0.48,STABLE,-0.02,9.17,2,0,31.7,
850,0101,9/11/2013 4:51:43 PM ,2756,20.39,19.85,0.54,15.3,2411,0.060,0.545,0.485,14.2,0.875,0.8,0.48,STABLE,0.01,9.18,311,2,31.2,
851,0101,9/11/2013 5:02:13 PM ,2796,20.39,19.84,0.55,15.3,2413,0.060,0.546,0.486,14.2,0.863,0.8,0.48,STABLE,0.00,9.18,353,0,30.7,
852,0101,9/11/2013 5:12:43 PM ,2878,20.39,19.83,0.56,15.3,2471,0.060,0.557,0.497,14.2,0.859,0.8,0.48,STABLE,-0.01,9.17,393,0,30.6,
853,0101,9/11/2013 5:23:13 PM ,3011,20.39,19.80,0.59,15.3,2585,0.060,0.580,0.520,14.3,0.858,0.9,0.48,STABLE,0.00,9.17,287,0,30.6,
854,0101,9/11/2013 5:33:43 PM ,3380,20.39,19.73,0.66,15.4,2925,0.060,0.647,0.588,14.3,0.866,1.0,0.48,STABLE,0.00,9.17,202,1,31.0,
855,0101,9/11/2013 5:44:13 PM ,3655,20.39,19.68,0.72,15.4,3201,0.060,0.704,0.645,14.3,0.876,1.0,0.48,STABLE,-0.01,9.16,322,6,31.7,
856,0101,9/11/2013 5:54:43 PM ,3727,20.39,19.67,0.73,15.5,3243,0.060,0.711,0.651,14.4,0.870,1.1,0.48,STABLE,0.05,9.21,297,20,32.2,
857,0101,9/11/2013 6:05:13 PM ,3760,20.40,19.66,0.74,15.5,3295,0.060,0.722,0.663,14.4,0.876,1.1,0.48,STABLE,0.10,9.31,157,36,32.7,
858,0101,9/11/2013 6:15:43 PM ,3668,20.40,19.68,0.72,15.5,3233,0.060,0.711,0.652,14.4,0.881,1.0,0.48,STABLE,0.10,9.41,244,37,32.7,
859,0101,9/11/2013 6:26:13 PM ,3527,20.40,19.69,0.70,15.6,3181,0.060,0.706,0.646,14.5,0.902,1.0,0.48,STABLE,0.04,9.45,562,119,31.9,
860,0101,9/11/2013 6:36:43 PM ,2960,20.40,19.82,0.58,15.6,2548,0.060,0.574,0.514,14.5,0.861,0.8,0.48,STABLE,0.01,9.46,202,28,31.9,
861,0101,9/11/2013 6:47:13 PM ,2891,20.40,19.83,0.57,15.6,2495,0.060,0.563,0.504,14.5,0.863,0.8,0.48,STABLE,0.00,9.46,67,2,31.6,
862,0101,9/11/2013 6:57:43 PM ,2946,20.40,19.82,0.58,15.7,2522,0.060,0.569,0.510,14.5,0.856,0.8,0.48,STABLE,-0.01,9.45,77,0,31.1,
863,0101,9/11/2013 7:08:13 PM ,3122,20.40,19.80,0.60,15.7,2624,0.059,0.577,0.518,14.6,0.840,0.9,0.49,STABLE,0.00,9.45,375,4,31.2,
864,0101,9/11/2013 7:18:43 PM ,3200,20.40,19.78,0.62,15.7,2758,0.059,0.610,0.550,14.6,0.862,0.9,0.49,STABLE,-0.01,9.44,238,3,31.2,
865,0101,9/11/2013 7:29:13 PM ,3567,20.40,19.70,0.70,15.8,3076,0.059,0.677,0.618,14.6,0.862,1.0,0.48,STABLE,0.05,9.49,295,14,31.7,
866,0101,9/11/2013 7:39:43 PM ,3341,20.40,19.74,0.65,15.8,2822,0.059,0.630,0.571,14.6,0.845,0.9,0.48,STABLE,0.01,9.50,35,0,32.4,
867,0101,9/11/2013 7:50:13 PM ,3690,20.40,19.68,0.72,15.8,3235,0.059,0.704,0.645,14.7,0.877,1.1,0.49,STABLE,0.04,9.54,447,36,32.6,
868,0101,9/11/2013 8:00:43 PM ,3659,20.40,19.69,0.71,15.9,3214,0.059,0.701,0.642,14.7,0.878,1.0,0.49,STABLE,0.12,9.66,486,54,32.4,
869,0101,9/11/2013 8:11:13 PM ,3612,20.40,19.69,0.71,15.9,3197,0.059,0.703,0.644,14.7,0.885,1.0,0.48,STABLE,0.00,9.66,324,17,32.6,
870,0101,9/11/2013 8:21:43 PM ,3687,20.40,19.68,0.73,15.9,3260,0.059,0.717,0.658,14.8,0.884,1.1,0.48,STABLE,0.03,9.69,652,11,32.7,
871,0101,9/11/2013 8:32:13 PM ,3664,20.40,19.68,0.72,16.0,3241,0.059,0.713,0.654,14.8,0.885,1.0,0.48,STABLE,0.11,9.80,782,141,32.6,
872,0101,9/11/2013 8:42:43 PM ,3524,20.40,19.71,0.69,16.0,3092,0.059,0.681,0.622,14.8,0.878,1.0,0.48,STABLE,0.05,9.85,462,26,32.3,
873,0101,9/11/2013 8:53:13 PM ,2989,20.40,19.82,0.58,16.0,2557,0.059,0.572,0.513,14.9,0.856,0.8,0.48,STABLE,-0.01,9.84,463,1,32.2,
874,0101,9/11/2013 9:03:43 PM ,2911,20.40,19.83,0.57,16.1,2498,0.059,0.562,0.503,14.9,0.858,0.8,0.48,STABLE,0.00,9.84,51,0,32.1,
875,0101,9/11/2013 9:14:13 PM ,3129,20.40,19.79,0.61,16.1,2659,0.059,0.593,0.535,14.9,0.850,0.9,0.48,STABLE,0.00,9.84,51,2,31.8,
876,0101,9/11/2013 9:24:43 PM ,3667,20.40,19.68,0.72,16.1,3157,0.059,0.696,0.637,15.0,0.861,1.0,0.48,STABLE,0.05,9.89,600,35,32.0,
877,0101,9/11/2013 9:35:13 PM ,3651,20.40,19.68,0.71,16.2,3166,0.059,0.695,0.636,15.0,0.867,1.0,0.48,STABLE,0.05,9.94,361,30,31.9,
878,0101,9/11/2013 9:45:43 PM ,3602,20.40,19.69,0.71,16.2,3114,0.059,0.689,0.630,15.0,0.865,1.0,0.48,STABLE,0.07,10.01,718,71,31.9,
879,0101,9/11/2013 9:56:13 PM ,2963,20.40,19.82,0.58,16.3,2500,0.059,0.566,0.507,15.0,0.844,0.8,0.48,STABLE,-0.01,10.00,56,1,31.6,
880,0101,9/11/2013 10:06:43 PM ,2836,20.40,19.85,0.55,16.3,2414,0.059,0.545,0.486,15.1,0.851,0.8,0.48,STABLE,0.00,10.00,7,2,31.4,
881,0101,9/11/2013 10:17:13 PM ,2823,20.40,19.85,0.55,16.3,2337,0.059,0.530,0.471,15.1,0.828,0.8,0.48,STABLE,0.01,10.01,173,0,30.9,
882,0101,9/11/2013 10:27:43 PM ,3137,20.40,19.79,0.61,16.3,2662,0.059,0.591,0.532,15.1,0.848,0.9,0.49,STABLE,0.00,10.01,375,8,30.7,
883,0101,9/11/2013 10:38:13 PM ,3565,20.40,19.71,0.69,16.4,2990,0.059,0.660,0.601,15.1,0.839,1.0,0.48,STABLE,0.00,10.01,306,2,31.2,
884,0101,9/11/2013 10:48:43 PM ,3468,20.40,19.72,0.67,16.4,2916,0.059,0.645,0.586,15.2,0.841,1.0,0.48,STABLE,0.10,10.11,414,38,31.3,
885,0101,9/11/2013 10:59:13 PM ,3468,20.40,19.72,0.68,16.4,2905,0.058,0.644,0.585,15.2,0.838,1.0,0.48,STABLE,0.05,10.16,239,14,31.0,
886,0101,9/11/2013 11:09:43 PM ,3603,20.40,19.70,0.70,16.5,3100,0.059,0.679,0.621,15.2,0.861,1.0,0.49,STABLE,0.16,10.32,225,21,31.4,
887,0101,9/11/2013 11:20:13 PM ,3385,20.40,19.74,0.66,16.5,2949,0.059,0.650,0.592,15.3,0.871,1.0,0.48,STABLE,0.11,10.43,336,20,31.4,
888,0101,9/11/2013 11:30:43 PM ,2833,20.40,19.84,0.56,16.6,2421,0.059,0.555,0.496,15.3,0.855,0.8,0.47,STABLE,-0.01,10.42,3,0,31.3,
889,0101,9/11/2013 11:41:13 PM ,3013,20.40,19.80,0.60,16.6,2662,0.059,0.601,0.543,15.3,0.883,0.9,0.48,STABLE,-0.01,10.41,62,0,31.0,
890,0101,9/11/2013 11:51:43 PM ,3038,20.40,19.80,0.60,16.6,2619,0.059,0.590,0.532,15.3,0.862,0.9,0.48,STABLE,0.02,10.43,52,5,30.8,
891,0101,9/12/2013 12:02:13 AM ,2717,20.40,19.86,0.54,16.6,2298,0.059,0.527,0.468,15.4,0.846,0.8,0.48,STABLE,-0.01,10.42,2,0,30.5,
892,0101,9/12/2013 12:12:43 AM ,2709,20.40,19.87,0.53,16.7,2264,0.058,0.518,0.460,15.4,0.836,0.8,0.48,STABLE,-0.01,10.41,0,0,30.0,
893,0101,9/12/2013 12:23:13 AM ,2716,20.40,19.87,0.53,16.7,2257,0.058,0.515,0.457,15.4,0.831,0.8,0.48,STABLE,0.00,10.41,6,0,29.6,
894,0101,9/12/2013 12:33:43 AM ,2742,20.40,19.86,0.54,16.7,2290,0.058,0.525,0.467,15.4,0.835,0.8,0.48,STABLE,0.01,10.42,2,0,29.3,
895,0101,9/12/2013 12:44:13 AM ,2774,20.40,19.85,0.55,16.8,2291,0.058,0.527,0.469,15.5,0.826,0.8,0.48,STABLE,-0.01,10.41,0,0,29.2,
896,0101,9/12/2013 12:54:43 AM ,3156,20.40,19.78,0.62,16.8,2707,0.058,0.609,0.550,15.5,0.858,0.9,0.48,STABLE,0.02,10.43,308,4,29.1,
897,0101,9/12/2013 1:05:13 AM ,3330,20.40,19.75,0.66,16.8,2826,0.058,0.632,0.574,15.5,0.849,0.9,0.48,STABLE,0.03,10.46,538,5,29.6,
898,0101,9/12/2013 1:15:43 AM ,3210,20.40,19.78,0.63,16.8,2692,0.058,0.601,0.543,15.5,0.839,0.9,0.48,STABLE,0.00,10.46,805,0,30.0,
899,0101,9/12/2013 1:26:13 AM ,3470,20.40,19.72,0.68,16.9,3001,0.058,0.663,0.605,15.6,0.865,1.0,0.48,STABLE,0.04,10.50,277,25,30.5,
900,0101,9/12/2013 1:36:43 AM ,3460,20.40,19.72,0.68,16.9,2965,0.058,0.661,0.603,15.6,0.857,1.0,0.48,STABLE,0.06,10.56,333,7,30.9,
901,0101,9/12/2013 1:47:13 AM ,3274,20.40,19.75,0.65,17.0,2786,0.058,0.627,0.569,15.6,0.851,0.9,0.48,STABLE,0.08,10.64,68,9,30.9,
902,0101,9/12/2013 1:57:43 AM ,3354,20.40,19.74,0.67,17.0,2933,0.058,0.655,0.597,15.7,0.874,1.0,0.48,STABLE,0.12,10.76,266,20,30.8,
903,0101,9/12/2013 2:08:13 AM ,3026,20.40,19.80,0.60,17.0,2581,0.058,0.583,0.525,15.7,0.853,0.9,0.48,STABLE,-0.01,10.75,175,1,30.7,
904,0101,9/12/2013 2:18:43 AM ,2877,20.40,19.83,0.57,17.0,2477,0.058,0.561,0.504,15.7,0.861,0.8,0.48,STABLE,-0.01,10.74,531,0,30.5,
905,0101,9/12/2013 2:29:13 AM ,2842,20.40,19.84,0.56,17.1,2412,0.058,0.550,0.493,15.7,0.849,0.8,0.48,STABLE,0.00,10.74,328,0,30.3,
906,0101,9/12/2013 2:39:43 AM ,2847,20.40,19.85,0.55,17.1,2381,0.057,0.537,0.480,15.8,0.836,0.8,0.48,STABLE,0.01,10.75,249,0,30.1,
907,0101,9/12/2013 2:50:13 AM ,3140,20.40,19.78,0.62,17.1,2701,0.057,0.605,0.547,15.8,0.860,0.9,0.48,DYNAMIC,0.03,10.78,710,5,29.8,
908,0101,9/12/2013 3:00:43 AM ,3077,20.40,19.80,0.60,17.2,2570,0.057,0.580,0.523,15.8,0.835,0.9,0.48,STABLE,0.01,10.79,3,2,30.1,
909,0101,9/12/2013 3:11:13 AM ,3028,20.40,19.80,0.60,17.2,2554,0.057,0.578,0.520,15.8,0.844,0.9,0.48,STABLE,0.00,10.79,5,0,30.3,
910,0101,9/12/2013 3:21:43 AM ,3110,20.40,19.79,0.61,17.2,2639,0.057,0.596,0.538,15.9,0.849,0.9,0.48,STABLE,0.01,10.80,3,0,30.4,
911,0101,9/12/2013 3:32:13 AM ,3124,20.40,19.78,0.62,17.3,2619,0.057,0.591,0.534,15.9,0.838,0.9,0.48,STABLE,0.00,10.80,0,0,30.6,
912,0101,9/12/2013 3:42:43 AM ,3362,20.40,19.74,0.66,17.3,2880,0.057,0.644,0.587,15.9,0.857,1.0,0.48,STABLE,0.05,10.85,185,11,30.8,
913,0101,9/12/2013 3:53:13 AM ,3452,20.40,19.72,0.68,17.3,2935,0.057,0.656,0.599,16.0,0.850,1.0,0.48,STABLE,0.03,10.88,221,22,31.1,
914,0101,9/12/2013 4:03:43 AM ,3136,20.40,19.78,0.62,17.4,2624,0.056,0.592,0.536,16.0,0.837,0.9,0.48,STABLE,0.07,10.95,98,19,31.1,
915,0101,9/12/2013 4:14:13 AM ,2899,20.40,19.83,0.57,17.4,2428,0.056,0.551,0.495,16.0,0.838,0.8,0.48,STABLE,0.01,10.96,694,0,31.0,
916,0101,9/12/2013 4:24:43 AM ,2910,20.40,19.83,0.57,17.4,2455,0.056,0.557,0.501,16.0,0.844,0.8,0.48,STABLE,-0.01,10.95,0,0,30.6,
917,0101,9/12/2013 4:35:13 AM ,2837,20.40,19.84,0.56,17.5,2381,0.056,0.542,0.486,16.1,0.839,0.8,0.48,STABLE,-0.01,10.94,1,0,30.4,
918,0101,9/12/2013 4:45:43 AM ,2889,20.40,19.83,0.57,17.5,2400,0.056,0.548,0.492,16.1,0.831,0.8,0.47,STABLE,0.00,10.94,0,0,30.2,
919,0101,9/12/2013 4:56:13 AM ,3138,20.40,19.78,0.62,17.5,2634,0.056,0.596,0.540,16.1,0.839,0.9,0.47,STABLE,0.00,10.94,6,0,30.2,
920,0101,9/12/2013 5:06:43 AM ,3037,20.40,19.80,0.60,17.5,2494,0.056,0.567,0.511,16.1,0.821,0.9,0.47,STABLE,0.00,10.94,26,0,30.5,
921,0101,9/12/2013 5:17:13 AM ,3147,20.40,19.78,0.62,17.6,2580,0.056,0.586,0.530,16.2,0.820,0.9,0.47,STABLE,0.00,10.94,40,0,30.6,
922,0101,9/12/2013 5:27:43 AM ,3511,20.40,19.70,0.69,17.6,2937,0.056,0.657,0.601,16.2,0.836,1.0,0.47,STABLE,0.03,10.97,437,9,30.9,
923,0101,9/12/2013 5:38:13 AM ,3630,20.40,19.68,0.72,17.6,3012,0.056,0.672,0.616,16.2,0.830,1.0,0.48,STABLE,-0.01,10.96,293,7,31.4,
924,0101,9/12/2013 5:48:43 AM ,3629,20.40,19.69,0.71,17.7,3022,0.056,0.672,0.616,16.3,0.833,1.0,0.48,STABLE,0.06,11.02,372,34,31.8,
925,0101,9/12/2013 5:59:13 AM ,3599,20.40,19.68,0.71,17.7,3045,0.055,0.678,0.623,16.3,0.846,1.0,0.48,STABLE,0.07,11.09,284,18,32.1,
926,0101,9/12/2013 6:09:43 AM ,3554,20.40,19.69,0.70,17.8,3054,0.055,0.679,0.624,16.3,0.859,1.0,0.48,STABLE,0.13,11.22,140,24,32.1,
927,0101,9/12/2013 6:20:13 AM ,3432,20.40,19.72,0.68,17.8,2963,0.055,0.661,0.606,16.3,0.863,1.0,0.48,STABLE,0.08,11.30,263,23,31.9,
928,0101,9/12/2013 6:30:43 AM ,3137,20.40,19.78,0.63,17.8,2721,0.055,0.613,0.557,16.4,0.867,0.9,0.47,STABLE,0.02,11.32,106,14,31.7,
929,0101,9/12/2013 6:41:13 AM ,2595,20.40,19.89,0.51,17.9,2200,0.055,0.505,0.450,16.4,0.848,0.7,0.48,STABLE,0.00,11.32,83,0,31.1,
930,0101,9/12/2013 6:51:43 AM ,2461,20.40,19.91,0.49,17.9,2077,0.055,0.480,0.425,16.4,0.844,0.7,0.47,STABLE,-0.01,11.31,50,0,30.3,
931,0101,9/12/2013 7:02:13 AM ,2408,20.40,19.93,0.47,17.9,1992,0.055,0.461,0.407,16.4,0.827,0.7,0.48,STABLE,0.01,11.32,136,0,29.5,
932,0101,9/12/2013 7:12:43 AM ,2723,20.40,19.87,0.53,17.9,2276,0.054,0.515,0.461,16.5,0.836,0.8,0.48,STABLE,-0.02,11.30,75,0,28.8,
933,0101,9/12/2013 7:23:13 AM ,2521,20.40,19.91,0.49,18.0,2056,0.054,0.469,0.415,16.5,0.816,0.7,0.48,STABLE,0.02,11.32,108,0,28.6,
934,0101,9/12/2013 7:33:43 AM ,2427,20.41,19.93,0.47,18.0,1979,0.054,0.455,0.401,16.5,0.815,0.7,0.48,STABLE,-0.02,11.30,445,0,28.2,
935,0101,9/12/2013 7:44:13 AM ,2451,20.41,19.93,0.48,18.0,2010,0.054,0.461,0.407,16.5,0.820,0.7,0.48,STABLE,0.00,11.30,646,0,27.7,
936,0101,9/12/2013 7:54:43 AM ,2659,20.41,19.89,0.52,18.0,2199,0.053,0.498,0.445,16.6,0.827,0.7,0.48,STABLE,0.00,11.30,679,0,27.4,
937,0101,9/12/2013 8:05:13 AM ,2971,20.41,19.83,0.58,18.1,2488,0.053,0.556,0.503,16.6,0.838,0.8,0.48,STABLE,-0.01,11.29,567,0,27.6,
938,0101,9/12/2013 8:15:43 AM ,2977,20.41,19.83,0.58,18.1,2423,0.053,0.544,0.491,16.6,0.814,0.8,0.48,STABLE,0.01,11.30,70,3,28.0,
939,0101,9/12/2013 8:26:13 AM ,2983,20.41,19.82,0.59,18.1,2439,0.053,0.550,0.498,16.6,0.817,0.8,0.48,STABLE,-0.02,11.28,75,2,28.5,
940,0101,9/12/2013 8:36:43 AM ,3163,20.41,19.79,0.62,18.2,2623,0.052,0.587,0.534,16.7,0.829,0.9,0.48,STABLE,0.01,11.29,11,1,28.8,
941,0101,9/12/2013 8:47:13 AM ,3182,20.41,19.78,0.62,18.2,2661,0.052,0.592,0.540,16.7,0.836,0.9,0.48,STABLE,0.01,11.30,478,11,29.4,
942,0101,9/12/2013 8:57:43 AM ,3112,20.41,19.80,0.61,18.2,2530,0.052,0.565,0.513,16.7,0.813,0.9,0.48,STABLE,0.01,11.31,402,8,29.6,
943,0101,9/12/2013 9:08:13 AM ,3158,20.41,19.80,0.61,18.3,2537,0.052,0.563,0.511,16.7,0.803,0.9,0.48,STABLE,0.00,11.31,152,0,29.8,
944,0101,9/12/2013 9:18:43 AM ,3301,20.41,19.77,0.64,18.3,2692,0.052,0.597,0.545,16.8,0.815,0.9,0.48,STABLE,-0.02,11.29,54,4,30.1,
945,0101,9/12/2013 9:29:13 AM ,3200,20.41,19.79,0.62,18.3,2569,0.051,0.571,0.520,16.8,0.803,0.9,0.48,STABLE,0.04,11.33,37,12,30.5,
946,0101,9/12/2013 9:39:43 AM ,3270,20.41,19.77,0.64,18.4,2677,0.051,0.593,0.541,16.8,0.819,0.9,0.48,STABLE,0.01,11.34,255,13,30.7,
947,0101,9/12/2013 9:50:13 AM ,3180,20.41,19.79,0.62,18.4,2563,0.051,0.567,0.516,16.8,0.806,0.9,0.48,STABLE,0.04,11.38,539,49,30.6,
948,0101,9/12/2013 10:00:43 AM ,3002,20.41,19.83,0.58,18.4,2421,0.051,0.539,0.488,16.9,0.806,0.8,0.48,STABLE,-0.02,11.36,826,67,30.6,
949,0101,9/12/2013 10:11:13 AM ,3076,20.41,19.82,0.60,18.4,2520,0.051,0.557,0.507,16.9,0.819,0.9,0.48,STABLE,0.01,11.37,646,47,30.6,
950,0101,9/12/2013 10:21:43 AM ,3310,20.42,19.76,0.65,18.5,2753,0.051,0.615,0.564,16.9,0.832,0.9,0.47,STABLE,-0.02,11.35,461,4,30.9,
951,0101,9/12/2013 10:32:13 AM ,3542,20.42,19.73,0.69,18.5,2936,0.052,0.645,0.593,16.9,0.829,1.0,0.48,DYNAMIC,0.02,11.37,214,5,31.6,
952,0101,9/12/2013 10:42:43 AM ,3477,20.42,19.74,0.68,18.6,2889,0.052,0.636,0.584,17.0,0.831,1.0,0.48,STABLE,0.07,11.44,462,37,31.9,
953,0101,9/12/2013 10:53:13 AM ,3519,20.42,19.74,0.68,18.6,2912,0.052,0.638,0.587,17.0,0.827,1.0,0.48,STABLE,0.08,11.52,294,36,32.2,
954,0101,9/12/2013 11:03:43 AM ,3342,20.42,19.77,0.65,18.6,2771,0.051,0.608,0.557,17.0,0.829,0.9,0.48,STABLE,0.08,11.60,313,28,31.9,
955,0101,9/12/2013 11:14:13 AM ,3025,20.42,19.83,0.59,18.7,2507,0.051,0.555,0.504,17.1,0.829,0.9,0.48,STABLE,0.00,11.60,278,23,31.8,
956,0101,9/12/2013 11:24:43 AM ,2914,20.42,19.85,0.57,18.7,2433,0.051,0.541,0.490,17.1,0.835,0.8,0.48,STABLE,0.01,11.61,3,0,31.3,
957,0101,9/12/2013 11:35:13 AM ,3090,20.42,19.81,0.61,18.7,2613,0.050,0.579,0.529,17.1,0.846,0.9,0.48,STABLE,-0.02,11.59,11,0,30.9,
958,0101,9/12/2013 11:45:43 AM ,3467,20.42,19.74,0.68,18.7,2962,0.050,0.647,0.598,17.1,0.854,1.0,0.48,STABLE,0.04,11.63,254,12,31.0,
959,0101,9/12/2013 11:56:13 AM ,3574,20.42,19.72,0.70,18.8,3041,0.049,0.665,0.616,17.2,0.851,1.0,0.48,STABLE,0.01,11.64,551,21,32.0,
960,0101,9/12/2013 12:06:43 PM ,3423,20.42,19.75,0.67,18.8,2884,0.049,0.630,0.581,17.2,0.843,1.0,0.48,STABLE,0.04,11.68,306,11,31.9,
961,0101,9/12/2013 12:17:13 PM ,3385,20.42,19.75,0.67,18.9,2911,0.049,0.639,0.590,17.2,0.860,1.0,0.48,STABLE,0.03,11.71,761,25,32.0,
962,0101,9/12/2013 12:27:43 PM ,3006,20.42,19.83,0.59,18.9,2485,0.049,0.553,0.504,17.3,0.827,0.8,0.48,STABLE,0.00,11.71,121,3,31.9,
963,0101,9/12/2013 12:38:13 PM ,3097,20.42,19.80,0.61,18.9,2614,0.048,0.582,0.533,17.3,0.844,0.9,0.48,STABLE,-0.01,11.70,567,0,31.7,
964,0101,9/12/2013 12:48:43 PM ,3300,20.42,19.76,0.65,19.0,2757,0.048,0.613,0.564,17.3,0.835,0.9,0.47,STABLE,0.01,11.71,44,0,31.8,
965,0101,9/12/2013 12:59:13 PM ,3420,20.41,19.74,0.68,19.0,2882,0.048,0.638,0.590,17.3,0.843,1.0,0.47,STABLE,0.02,11.73,117,8,32.2,
966,0101,9/12/2013 1:09:43 PM ,3461,20.42,19.73,0.68,19.0,2904,0.048,0.641,0.593,17.4,0.839,1.0,0.48,STABLE,0.09,11.82,328,33,32.1,
967,0101,9/12/2013 1:20:13 PM ,3358,20.41,19.75,0.66,19.1,2820,0.047,0.620,0.572,17.4,0.840,0.9,0.48,STABLE,0.03,11.85,51,7,31.9,
968,0101,9/12/2013 1:30:43 PM ,3375,20.41,19.75,0.66,19.1,2868,0.047,0.630,0.583,17.4,0.850,1.0,0.48,STABLE,0.07,11.92,206,21,31.6,
969,0101,9/12/2013 1:41:13 PM ,2984,20.42,19.83,0.59,19.1,2498,0.047,0.554,0.508,17.5,0.837,0.8,0.48,STABLE,0.02,11.94,270,3,31.1,
970,0101,9/12/2013 1:51:43 PM ,2902,20.41,19.84,0.57,19.2,2442,0.047,0.544,0.497,17.5,0.841,0.8,0.48,STABLE,-0.02,11.92,437,0,31.0,
971,0101,9/12/2013 2:02:13 PM ,3245,20.41,19.77,0.64,19.2,2746,0.047,0.606,0.559,17.5,0.846,0.9,0.48,STABLE,0.01,11.93,442,0,30.9,
972,0101,9/12/2013 2:12:43 PM ,3441,20.42,19.74,0.68,19.2,2928,0.046,0.641,0.595,17.5,0.851,1.0,0.48,STABLE,-0.01,11.92,332,3,31.5,
